manifest_id,domain,business_name,cohort,industry,country,region,audit_date,technical_score,ai_discovery_score,entity_score,aeo_score,geo_score,total_score,oai_mechanism,perplexity_mechanism,not_measurable_count,notes
4,"harney.com","Harney & Sons Fine Teas","eCommerce / D2C","Specialty Teas & Beverage","USA","Northeast","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
9,"birdwell.com","Birdwell Beach Britches","eCommerce / D2C","Heritage Surf & Apparel","USA","West","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
14,"ranchroadboots.com","Ranch Road Boots","eCommerce / D2C","Artisan Footwear & Leather","USA","South","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
20,"distilunion.com","Distil Union Design Accessories","eCommerce / D2C","Everyday Carry & Wallets","USA","South","2026-08-31",20,10,19,17,27,93,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 805262 bytes; Domain verified MATCH."
24,"seattleplumbing.com","Seattle Plumbing Co","Professional & Local Services","Residential & Commercial Plumbing","USA","West","2026-08-31",6,10,13,16,21,66,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 162 bytes; Domain verified MATCH."
29,"austinhvac.com","Austin Climate Systems","Professional & Local Services","HVAC & Refrigeration Services","USA","South","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 302; Body length 0 bytes; Domain verified MATCH."
34,"minneapolislegal.com","Minneapolis Business Counsel","Professional & Local Services","Corporate & Estate Law","USA","Midwest","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
39,"torontolegal.ca","Toronto Legal Advisory","Professional & Local Services","Commercial Litigation","Canada","Canada","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
44,"seerinteractive.com","Seer Interactive Marketing","B2B & Corporate Services","Digital Marketing & Analytics","USA","Northeast","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
49,"veza-digital.com","Veza Digital Web Development","B2B & Corporate Services","B2B Web Development & Design","USA","West","2026-08-31",4,10,13,15,21,63,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 500; Body length 0 bytes; Domain verified MATCH."
54,"beaconanalytics.com","Beacon Data Analytics","B2B & Corporate Services","Business Intelligence & Cloud","USA","Midwest","2026-08-31",13,10,13,15,21,72,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 114 bytes; Domain verified MATCH."
59,"momentumhr.ca","Momentum HR Consulting","B2B & Corporate Services","HR & Management Consulting","Canada","Canada","2026-08-31",10,10,13,15,21,69,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
64,"kaged.com","Kaged Muscle Supplements","Health, Wellness & Lifestyle","Sports Nutrition & Performance","USA","West","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
69,"humnutrition.com","HUM Nutrition Supplements","Health, Wellness & Lifestyle","Clean Clinical Nutrition","USA","West","2026-08-31",6,10,13,16,21,66,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 167 bytes; Domain verified MATCH."
74,"drbronner.com","Dr. Bronner's Magic Soaps","Health, Wellness & Lifestyle","Organic Personal Care","USA","West","2026-08-31",6,10,13,15,21,65,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 0 bytes; Domain verified MATCH."
79,"kencko.com","Kencko Organic Smoothies","Health, Wellness & Lifestyle","Freeze-Dried Organic Nutrition","USA","Northeast","2026-08-31",6,10,13,16,21,66,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 301; Body length 167 bytes; Domain verified MATCH."
84,"huckberry.com","Huckberry Outdoor Goods","Miscellaneous Independent","Men's Gear & Outdoor Apparel","USA","South","2026-08-31",7,10,13,15,24,69,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 403; Body length 5664 bytes; Domain verified MATCH."
89,"poketo.com","Poketo Design Goods","Miscellaneous Independent","Artisan Stationery & Home Design","USA","West","2026-08-31",4,10,13,16,21,64,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 307; Body length 137 bytes; Domain verified MATCH."
94,"goodneighbor.ca","Good Neighbor Canadian Goods","Miscellaneous Independent","Artisan Lifestyle & Goods","Canada","Canada","2026-08-31",16,10,13,16,24,79,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 19714 bytes; Domain verified MATCH."
99,"sprucecollective.com","Spruce Collective Goods","Miscellaneous Independent","Canadian Artisan Decor & Lifestyle","Canada","Canada","2026-08-31",16,10,13,16,24,79,"WILDCARD_ALLOW","WILDCARD_ALLOW",0,"HTTP 200; Body length 177139 bytes; Domain verified MATCH."
