domain,business_name,cohort,industry,country,state_province,region,discovery_source,discovery_date,reserve_priority,eligible,eligibility_notes
"tactileturn.com","Tactile Turn Machined Pens","eCommerce / D2C","Machined Writing Instruments","USA","TX","South","Public Regional Register","2026-08-31",1,"YES","Eligible reserve candidate"
"bellroy.com","Bellroy Carry Goods","eCommerce / D2C","Slim Wallets & Travel Gear","USA","CA","West","Public Regional Register","2026-08-31",2,"YES","Eligible reserve candidate"
"peakdesign.com","Peak Design Camera Gear","eCommerce / D2C","Camera Equipment & Travel","USA","CA","West","Public Regional Register","2026-08-31",3,"YES","Eligible reserve candidate"
"westernrise.com","Western Rise Performance Clothing","eCommerce / D2C","Performance Apparel","USA","CO","West","Public Regional Register","2026-08-31",4,"YES","Eligible reserve candidate"
"matadorup.com","Matador Packable Equipment","eCommerce / D2C","Packable Travel Gear","USA","CO","West","Public Regional Register","2026-08-31",5,"YES","Eligible reserve candidate"
"charlestonlegal.com","Charleston Heritage Legal","Professional & Local Services","Legal Services","USA","SC","South","Public Regional Register","2026-08-31",1,"YES","Eligible reserve candidate"
"sanfranarchitects.com","San Francisco Urban Architects","Professional & Local Services","Architecture & Design","USA","CA","West","Public Regional Register","2026-08-31",2,"YES","Eligible reserve candidate"
"tampacpa.com","Tampa Bay Tax Advisors","Professional & Local Services","Accounting & Tax","USA","FL","South","Public Regional Register","2026-08-31",3,"YES","Eligible reserve candidate"
"clevelandplumbing.com","Cleveland Plumbing & Heating","Professional & Local Services","Plumbing Services","USA","OH","Midwest","Public Regional Register","2026-08-31",4,"YES","Eligible reserve candidate"
"montreallegal.ca","Montreal Corporate Law","Professional & Local Services","Legal Practice","Canada","QC","Canada","Public Regional Register","2026-08-31",5,"YES","Eligible reserve candidate"
"ueno.co","Ueno Digital Studio","B2B & Corporate Services","Digital Brand Design","USA","NY","Northeast","Public Regional Register","2026-08-31",1,"YES","Eligible reserve candidate"
"instrument.com","Instrument Product Agency","B2B & Corporate Services","Digital Product Development","USA","OR","West","Public Regional Register","2026-08-31",2,"YES","Eligible reserve candidate"
"hugeinc.com","Huge Experience Agency","B2B & Corporate Services","User Experience & Strategy","USA","NY","Northeast","Public Regional Register","2026-08-31",3,"YES","Eligible reserve candidate"
"workco.com","Work & Co Digital Products","B2B & Corporate Services","Software Product Engineering","USA","NY","Northeast","Public Regional Register","2026-08-31",4,"YES","Eligible reserve candidate"
"firstround.com","First Round Business Advisors","B2B & Corporate Services","Venture & Corporate Advisory","USA","CA","West","Public Regional Register","2026-08-31",5,"YES","Eligible reserve candidate"
"hims.com","Hims Health & Wellness","Health, Wellness & Lifestyle","Telehealth & Prescription Care","USA","CA","West","Public Regional Register","2026-08-31",1,"YES","Eligible reserve candidate"
"ro.co","Ro Health Platform","Health, Wellness & Lifestyle","Direct Telehealth & Care","USA","NY","Northeast","Public Regional Register","2026-08-31",2,"YES","Eligible reserve candidate"
"calm.com","Calm Mindfulness Studio","Health, Wellness & Lifestyle","Mental Wellness & Sleep","USA","CA","West","Public Regional Register","2026-08-31",3,"YES","Eligible reserve candidate"
"headspace.com","Headspace Health","Health, Wellness & Lifestyle","Mindfulness & Meditation","USA","CA","West","Public Regional Register","2026-08-31",4,"YES","Eligible reserve candidate"
"equinox.com","Equinox Fitness Clubs","Health, Wellness & Lifestyle","High-Performance Fitness","USA","NY","Northeast","Public Regional Register","2026-08-31",5,"YES","Eligible reserve candidate"
"strata.ca","Strata Property Solutions","Miscellaneous Independent","Real Estate & Strata Data","Canada","BC","Canada","Public Regional Register","2026-08-31",1,"YES","Eligible reserve candidate"
"spoonflower.ca","Spoonflower Canada Goods","Miscellaneous Independent","Specialty Textiles","Canada","ON","Canada","Public Regional Register","2026-08-31",2,"YES","Eligible reserve candidate"
"generalassemb.ly","General Assembly Skills","Miscellaneous Independent","Specialty Tech Education","USA","NY","Northeast","Public Regional Register","2026-08-31",3,"YES","Eligible reserve candidate"
"makerbot.com","MakerBot 3D Printers","Miscellaneous Independent","Desktop 3D Printing","USA","NY","Northeast","Public Regional Register","2026-08-31",4,"YES","Eligible reserve candidate"
"adafruit.com","Adafruit Electronics","Miscellaneous Independent","DIY Electronics & Hardware","USA","NY","Northeast","Public Regional Register","2026-08-31",5,"YES","Eligible reserve candidate"
