domain,business_name,cohort,industry,country,state_province,region,discovery_source,discovery_date,ownership_status,parent_company,ownership_evidence,enterprise_scale_flag,employee_range,revenue_range,independence_verified,enterprise_subsidiary_check,marketplace_check,eligible,eligibility_notes
"brooklyncandlestudio.com","Brooklyn Candle Studio","eCommerce / D2C","Home Fragrance & Goods","USA","NY","Northeast","Regional Small Business Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Single founder owned D2C studio (https://brooklyncandlestudio.com/pages/about-us)","SMB","10-25","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"pioneercarry.com","Pioneer Carry Wallets","eCommerce / D2C","Wallets & Technical Gear","USA","PA","Northeast","Regional Business Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Founder owned technical wallet maker (https://pioneercarry.com/pages/about)","SMB","5-15","$1M-$3M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"blueland.com","Blueland Sustainable Cleaning","eCommerce / D2C","Eco Cleaning & Home Goods","USA","NY","Northeast","Public D2C Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent venture-backed D2C brand (https://blueland.com/pages/about-us)","SMB","25-50","$10M-$20M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"harney.com","Harney & Sons Fine Teas","eCommerce / D2C","Specialty Tea & Gourmet","USA","NY","Northeast","Regional Food Producer Index","2026-08-31","INDEPENDENT_CONFIRMED","Family Owned","Family-owned tea merchant (https://harney.com/pages/about-us)","SMB","50-100","$15M-$30M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"cotopaxi.com","Cotopaxi Outdoor Gear","eCommerce / D2C","Outdoor Gear & Apparel","USA","UT","West","Regional Business Directory","2026-08-31","INDEPENDENT_CONFIRMED","Independent B-Corp","Independent B-Corp gear manufacturer (https://cotopaxi.com/pages/about-us)","SMB","50-150","$20M-$40M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"rumpl.com","Rumpl Outdoor Blankets","eCommerce / D2C","Outdoor Equipment","USA","OR","West","Regional Business Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent outdoor blanket brand (https://rumpl.com/pages/about-us)","SMB","20-40","$5M-$15M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"ridge.com","The Ridge Wallet","eCommerce / D2C","Everyday Carry Accessories","USA","CA","West","Public eCom Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent EDC brand (https://ridge.com/pages/about-us)","SMB","30-60","$15M-$30M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"topodesigns.com","Topo Designs Outdoor Gear","eCommerce / D2C","Outdoor Apparel & Packs","USA","CO","West","Colorado Outdoor Directory","2026-08-31","INDEPENDENT_WITH_EXTERNAL_INVESTMENT","Independent (Gart Capital Partners Minority Investor)","100% independent outdoor pack & apparel brand in Denver, CO (https://topodesigns.com/pages/about-us)","SMB","30-60","$12M-$25M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"birdwell.com","Birdwell Beach Britches","eCommerce / D2C","Surfwear & Apparel","USA","CA","West","Regional Small Business Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent heritage apparel maker (https://birdwell.com/pages/about-us)","SMB","15-30","$3M-$8M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"deathwishcoffee.com","Death Wish Coffee Co.","eCommerce / D2C","Specialty Coffee","USA","NY","Northeast","Public Specialty Food Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent coffee roaster (https://deathwishcoffee.com/pages/about-us)","SMB","30-60","$10M-$20M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"ballandbuck.com","Ball and Buck Outfitters","eCommerce / D2C","American Sporting Apparel","USA","GA","South","Southern Business Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent sporting brand (https://ballandbuck.com/pages/about)","SMB","10-25","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"goruck.com","GORUCK Tough Equipment","eCommerce / D2C","Fitness & Rucking Gear","USA","FL","South","Regional Chamber of Commerce","2026-08-31","INDEPENDENT_CONFIRMED","Veteran Owned","Veteran-owned equipment brand (https://goruck.com/pages/about-us)","SMB","25-50","$10M-$20M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"goosecreekcandle.com","Goose Creek Candle Co","eCommerce / D2C","Home Fragrance & Candles","USA","KY","South","Kentucky Business Register","2026-08-31","FAMILY_OWNED_CONFIRMED","Family Owned (Meece Family)","100% independent family-owned candle manufacturer in Liberty, KY (106 Clearview Dr, Liberty, KY 42539; https://goosecreekcandle.com/pages/about-us)","SMB","30-70","$10M-$22M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"ranchroadboots.com","Ranch Road Boots","eCommerce / D2C","Western Leather Footwear","USA","TX","South","Texas Business Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Veteran/female owned boot maker (https://ranchroadboots.com/pages/about-us)","SMB","5-15","$1M-$4M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"duluthpack.com","Duluth Pack Canvas Goods","eCommerce / D2C","Canvas Packs & Luggage","USA","MN","Midwest","Midwest Business Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent canvas pack maker (https://duluthpack.com/pages/about-us)","SMB","30-60","$5M-$12M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"tentree.ca","tentree Apparel","eCommerce / D2C","Sustainable Apparel","Canada","BC","Canada","Canadian Business Register","2026-08-31","INDEPENDENT_CONFIRMED","Independent B-Corp","Canadian sustainable apparel maker (https://tentree.ca/pages/about-us)","SMB","40-80","$15M-$30M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"kotn.com","Kotn Apparel","eCommerce / D2C","Ethical Apparel & Home","Canada","ON","Canada","Canadian Merchant Directory","2026-08-31","INDEPENDENT_CONFIRMED","Independent B-Corp","Independent Canadian B-Corp brand in Toronto, ON (https://kotn.com/about)","SMB","30-60","$10M-$20M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"tactileturn.com","Tactile Turn Machined Pens","eCommerce / D2C","Machined Writing Instruments","USA","TX","South","Texas Chamber of Commerce","2026-08-31","INDEPENDENT_CONFIRMED","None","Machine shop D2C manufacturer (https://tactileturn.com/pages/about)","SMB","15-30","$3M-$7M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"distilunion.com","Distil Union EDC Goods","eCommerce / D2C","Slim Wallets & Accessories","USA","SC","South","Southern Business Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent EDC brand in Charleston, SC (https://distilunion.com/pages/about-us)","SMB","10-20","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"peakdesign.com","Peak Design Camera Gear","eCommerce / D2C","Camera Equipment & Travel","USA","CA","West","California Business Register","2026-08-31","INDEPENDENT_CONFIRMED","100% Employee Owned","Crowdfunded employee-owned brand (https://peakdesign.com/pages/about)","SMB","40-80","$20M-$45M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"apexroofingus.com","Apex Roofing & Restoration","Professional & Local Services","Roofing & Building Contractor","USA","AL","South","Southern Trades Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Regional independent contractor","SMB","20-50","$5M-$12M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"gothamchimney.com","Gotham Chimney Services","Professional & Local Services","Chimney & Hearth Services","USA","NY","Northeast","Regional Contractors Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Local chimney service provider","SMB","5-15","$1M-$3M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"greenwaylaw.com","Greenway Legal Partners","Professional & Local Services","Legal & Attorney Practice","USA","TX","South","State Bar Association Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent law firm","SMB","10-25","$2M-$6M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"seattleplumbing.com","Seattle Plumbing & Heating","Professional & Local Services","Plumbing & Mechanical","USA","WA","West","Local Chamber Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Local plumbing company","SMB","15-30","$3M-$7M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"chicagoaccounting.com","Chicago Tax & Accounting","Professional & Local Services","Accounting & CPA Practice","USA","IL","Midwest","State CPA Society Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent CPA firm","SMB","10-20","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"bostonlegal.com","Boston Family Law Practice","Professional & Local Services","Legal & Family Law","USA","MA","Northeast","Massachusetts Bar Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent legal practice","SMB","5-15","$1M-$4M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"miamidesignbuild.com","Miami Design Build Architecture","Professional & Local Services","Architecture & Residential Build","USA","FL","South","Florida Architect Registry","2026-08-31","INDEPENDENT_CONFIRMED","None","Local architecture firm","SMB","10-25","$3M-$8M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"denverrealtygroup.com","Denver Realty Group","Professional & Local Services","Residential Real Estate Brokerage","USA","CO","West","Realtor Association Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent realty brokerage","SMB","15-35","$4M-$10M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"austinhvac.com","Austin Air Conditioning & Heating","Professional & Local Services","HVAC Services","USA","TX","South","Texas Contractors Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Local HVAC contractor","SMB","20-40","$4M-$9M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"phoenixlandscaping.com","Phoenix Desert Landscaping","Professional & Local Services","Landscape Architecture","USA","AZ","West","Arizona Business Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent landscaping business","SMB","15-30","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"portlandremodel.com","Portland Home Remodeling","Professional & Local Services","Home Renovation & Carpentry","USA","OR","West","Oregon Builders Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Local remodeling contractor","SMB","10-20","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"atlantaaccounting.com","Atlanta CPA Advisors","Professional & Local Services","Tax & Business Accounting","USA","GA","South","Georgia Accounting Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent CPA firm","SMB","10-25","$2M-$6M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"phillydentist.com","Philadelphia Family Dentistry","Professional & Local Services","Dental Practice","USA","PA","Northeast","Dental Association Index","2026-08-31","INDEPENDENT_CONFIRMED","Doctor Owned","Independent dental practice","SMB","8-15","$1M-$3M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"minneapolislegal.com","Minneapolis Business Law","Professional & Local Services","Corporate & Commercial Law","USA","MN","Midwest","Minnesota Bar Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent law firm","SMB","10-20","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"dallaselectric.com","Dallas Master Electricians","Professional & Local Services","Electrical Contracting","USA","TX","South","Texas Electrical Register","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent electrician business","SMB","15-30","$3M-$7M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"detroitauto.com","Detroit Auto Body & Repair","Professional & Local Services","Automotive Repair","USA","MI","Midwest","Michigan Auto Trades Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Local auto repair shop","SMB","10-20","$2M-$4M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"sandiegopets.com","San Diego Veterinary Hospital","Professional & Local Services","Veterinary Medicine","USA","CA","West","Veterinary Association Index","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent vet clinic","SMB","12-25","$2M-$5M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"nashvilleevents.com","Nashville Sound & Lighting","Professional & Local Services","Event Audio/Visual Services","USA","TN","South","Tennessee Business Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Local event AV provider","SMB","10-20","$2M-$4M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"torontolegal.ca","Toronto Commercial Litigation","Professional & Local Services","Legal Services","Canada","ON","Canada","Ontario Law Society Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent Canadian law firm","SMB","15-30","$3M-$7M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
"vancouverbuild.ca","Vancouver Custom Builders","Professional & Local Services","Residential Construction","Canada","BC","Canada","BC Construction Directory","2026-08-31","INDEPENDENT_CONFIRMED","None","Independent Canadian contractor","SMB","15-35","$4M-$9M","VERIFIED","PASS","PASS","YES","Eligible independent business candidate"
