criterion_id,criterion_name,category,max_score,PASS_count,PARTIAL_count,FAIL_count,NOT_MEASURABLE_count,mean_score,normalized_score_percentage
C1.1,"HTTPS Enforcement","Technical Search Readiness",2.0,100,0,0,0,2.0,100.0
C1.2,"Direct HTTP 200 Status","Technical Search Readiness",2.0,98,2,0,0,1.96,98.0
C1.3,"robots.txt File Accessibility","Technical Search Readiness",2.0,100,0,0,0,2.0,100.0
C1.4,"XML Sitemap Access & Declaration","Technical Search Readiness",2.0,95,0,5,0,1.90,95.0
C1.5,"Canonical Tag Implementation","Technical Search Readiness",2.0,98,0,2,0,1.96,98.0
C1.6,"Indexability Meta Robots Directive","Technical Search Readiness",2.0,100,0,0,0,2.0,100.0
C1.7,"Mobile Viewport Meta Tag","Technical Search Readiness",2.0,100,0,0,0,2.0,100.0
C1.8,"Crawlable HTML Navigation","Technical Search Readiness",2.0,99,0,1,0,1.98,99.0
C1.9,"Core Content HTML Rendering","Technical Search Readiness",2.0,88,12,0,0,1.76,88.0
C1.10,"Clean Error Response","Technical Search Readiness",2.0,95,0,5,0,1.90,95.0
C2.1,"OAI-SearchBot Access","AI Discovery Accessibility",2.0,100,0,0,0,2.0,100.0
C2.2,"PerplexityBot Access","AI Discovery Accessibility",2.0,100,0,0,0,2.0,100.0
C2.3,"Googlebot Access","AI Discovery Accessibility",2.0,100,0,0,0,2.0,100.0
C2.4,"Bingbot Access","AI Discovery Accessibility",2.0,100,0,0,0,2.0,100.0
C2.5,"CDN / WAF Pass-through","AI Discovery Accessibility",2.0,100,0,0,0,2.0,100.0
C3.1,"Organization Schema Markup","Entity & E-E-A-T Transparency",2.0,42,0,58,0,0.84,42.0
C3.2,"Brand Name Consistency Across Channels","Entity & E-E-A-T Transparency",2.0,100,0,0,0,2.0,100.0
C3.3,"Dedicated About Page Presence","Entity & E-E-A-T Transparency",2.0,92,0,8,0,1.84,92.0
C3.4,"Contact Information Transparency","Entity & E-E-A-T Transparency",2.0,96,0,4,0,1.92,96.0
C3.5,"Leadership & Founder Attribution","Entity & E-E-A-T Transparency",2.0,68,0,32,0,1.36,68.0
C3.6,"Expert / Author Bylines","Entity & E-E-A-T Transparency",2.0,35,25,40,0,0.95,47.5
C3.7,"Physical Business Address Disclosure","Entity & E-E-A-T Transparency",2.0,88,0,12,0,1.76,88.0
C3.8,"Privacy Policy & Terms Disclosure","Entity & E-E-A-T Transparency",2.0,98,0,2,0,1.96,98.0
C3.9,"Customer Support Channel Clarity","Entity & E-E-A-T Transparency",2.0,95,0,5,0,1.90,95.0
C3.10,"Social & External Profile Links","Entity & E-E-A-T Transparency",2.0,92,0,8,0,1.84,92.0
C4.1,"Single Main Heading (H1) Structure","AEO / Content Retrievability",2.0,82,15,3,0,1.79,89.5
C4.2,"Logical H2/H3 Heading Hierarchy","AEO / Content Retrievability",2.0,85,12,3,0,1.82,91.0
C4.3,"Direct Answer Passages","AEO / Content Retrievability",2.0,48,32,20,0,1.28,64.0
C4.4,"Structured Lists & Data Tables","AEO / Content Retrievability",2.0,62,28,10,0,1.52,76.0
C4.5,"FAQ Structure & Content","AEO / Content Retrievability",2.0,38,22,40,0,0.98,49.0
C4.6,"Self-Contained Informational Passages","AEO / Content Retrievability",2.0,75,20,5,0,1.70,85.0
C4.7,"Definition & Glossary Term Structure","AEO / Content Retrievability",2.0,25,15,60,0,0.65,32.5
C4.8,"Contextual Internal Linking","AEO / Content Retrievability",2.0,78,18,4,0,1.74,87.0
C4.9,"Entity-Dense Informational Sentences","AEO / Content Retrievability",2.0,60,30,10,0,1.50,75.0
C4.10,"Article / Blog Schema Markup","AEO / Content Retrievability",2.0,23,0,77,0,0.46,23.0
C5.1,"First-Party Case Studies & Project Proof","GEO / Authority Readiness",3.0,18,12,70,0,0.90,30.0
C5.2,"Original Data & Proprietary Research","GEO / Authority Readiness",3.0,12,8,80,0,0.60,20.0
C5.3,"Third-Party Media Mentions & Press Coverage","GEO / Authority Readiness",3.0,35,20,45,0,1.35,45.0
C5.4,"Industry Association & Accreditation Profiles","GEO / Authority Readiness",3.0,42,0,58,0,1.26,42.0
C5.5,"Expert Commentary & Industry Quotes","GEO / Authority Readiness",3.0,20,15,65,0,0.825,27.5
C5.6,"Claim Substantiation & Citation Sources","GEO / Authority Readiness",3.0,28,32,40,0,1.32,44.0
C5.7,"Platform Review Profiles","GEO / Authority Readiness",3.0,50,0,50,0,1.50,50.0
C5.8,"Supplier & B2B Partner References","GEO / Authority Readiness",3.0,45,0,55,0,1.35,45.0
C5.9,"External Entity Corroboration & Knowledge Nodes","GEO / Authority Readiness",3.0,8,0,92,0,0.24,8.0
C5.10,"Co-Citation & Entity Association","GEO / Authority Readiness",3.0,38,22,40,0,1.62,54.0
