domain,business_name,category,industry,country,state_or_province,discovery_method,date_selected,eligible_yes_no,exclusion_reason
"ugmonk.com","Ugmonk Design Studio","eCommerce / D2C","Apparel & Design Goods","USA","PA","Public Shopify D2C Directory","2026-08-31","YES",""
"nomadgoods.com","Nomad Goods Inc.","eCommerce / D2C","Consumer Electronics & Accessories","USA","CA","Public eCom Store Directory","2026-08-31","YES",""
"bellhop.com","Bellhop Moving Services","Professional / Local Services","Logistics & Moving Services","USA","TN","Public Business Registry","2026-08-31","YES",""
"wrightlegal.com","Wright Legal Group","Professional / Local Services","Legal Services","USA","TX","Public Legal Directory","2026-08-31","YES",""
"klientboost.com","KlientBoost Marketing Agency","B2B / Corporate Services","Digital Marketing & Growth","USA","CA","Public B2B Agency Index","2026-08-31","YES",""
"trellis.co","Trellis Commerce Agency","B2B / Corporate Services","eCommerce Technology & Integration","USA","MA","Public B2B Directory","2026-08-31","YES",""
"kencko.com","Kencko Nutrition Inc.","Health / Wellness / Lifestyle","Organic Nutrition & Foods","USA","NY","Public Health/D2C Index","2026-08-31","YES",""
"parsleyhealth.com","Parsley Health Medical","Health / Wellness / Lifestyle","Holistic Primary Healthcare","USA","NY","Public Healthcare Registry","2026-08-31","YES",""
"spoonflower.com","Spoonflower Custom Fabric","Miscellaneous Small Business","Custom Fabric & Print-on-Demand","USA","NC","Public Specialty Retail Index","2026-08-31","YES",""
"cratejoy.com","Cratejoy Subscription Marketplace","Miscellaneous Small Business","Subscription Boxes & Niche Goods","USA","TX","Public Specialty Platform","2026-08-31","YES",""
