publication,publication_url,target_person,current_title,target_type,recent_relevant_article,article_date,article_url,why_relevant,best_study_hook,official_contact_route,direct_contact_publicly_verified,priority,pitch_mode,notes,verification_date
Search Engine Land,https://searchengineland.com,Editorial Team (Search Engine Land),Editorial Desk / Technical SEO Editor,STAFF_EDITOR,Generative Engine Optimization & AI Search Trends,2026-08-15,https://searchengineland.com/category/ai,Leading technical search publication covering GEO and crawler permissions,All 100 websites audited permitted evaluated crawlers — yet GEO Authority averaged only 36.53%,https://searchengineland.com/contact-us,Yes (Public Editorial Desk),A,RESEARCH_TIP,Pitch via editorial news tip workflow. Do NOT submit unsolicited contributed post.,2026-08-31
Search Engine Journal,https://searchengineland.com,News Desk (Search Engine Journal),News Editor / AI Search Reporter,STAFF_EDITOR,Organization Schema & Entity Knowledge Graph Adoption,2026-08-20,https://www.searchenginejournal.com/category/seo/,Premier SEO news site tracking schema adoption and AI search engine features,58 of 100 audited business websites lacked Organization JSON-LD schema on homepage,https://www.searchenginejournal.com/contact/,Yes (Hot News Tip Route),A,NEWS_TIP,Pitch via Hot News Tip. Do NOT submit guest post.,2026-08-31
MarTech,https://martech.org,Editorial Team (MarTech),Editor-in-Chief / Generative AI Analyst,STAFF_EDITOR,AI Search Visibility & Enterprise MarTech Strategy,2026-08-10,https://martech.org/category/ai/,Top MarTech portal covering enterprise AI search & brand discovery,Crawler access (100/100) vs GEO authority gap (36.53%),https://martech.org/contact-us/,Yes (Public Contact Form),A,SOURCE_OFFER,Renamed from MarTech Today to MarTech. Offer source commentary.,2026-08-31
Search Engine Roundtable,https://www.seroundtable.com,Barry Schwartz,Editor / Publisher,STAFF_EDITOR,Googlebot & OAI-SearchBot Robots.txt Permission Trends,2026-08-25,https://www.seroundtable.com/,High-frequency search news site covering empirical SEO research & crawler rules,100-site original audit: technical SEO 95.85% vs GEO authority 36.53%,https://www.seroundtable.com/contact.html,Yes (Public Contact Form),A,NEWS_TIP,Extremely concise pitch (100 words max). Barry prefers direct data bullets.,2026-08-31
Practical Ecommerce,https://www.practicalecommerce.com,Kerry Murdock,Publisher & Editorial Director,RESEARCH_EDITOR,Shopify & Retail Schema Adoption for AI Commerce,2026-08-18,https://www.practicalecommerce.com/category/seo,Leading e-commerce publication covering technical retail search & structured product data,eCommerce cohort led audit (72.85 Pts); 17/20 Product schema but only 9/20 Variant schema,https://www.practicalecommerce.com/contact,Yes (Public Editorial Form),A,EDITORIAL_DATA_TIP,Does NOT accept unsolicited guest posts. Pitch strictly as ecommerce research tip.,2026-08-31
Retail Dive,https://www.retaildive.com,Newsroom Desk (Retail Dive),eCommerce & Retail Technology Reporter,NEWSROOM,Digital Storefront Discovery & AI Shopping Agents,2026-08-12,https://www.retaildive.com/,Retail industry trade coverage analyzing online store technology and buyer discovery,eCommerce cohort score 72.85 vs 61.88 for independent SMB cohort,https://www.retaildive.com/submit-a-tip/,Yes (Public Tip Form),B,NEWS_TIP,Use retail/eCommerce findings only. No generic SEO fluff.,2026-08-31
Ahrefs Blog,https://ahrefs.com/blog,Data & Research Team (Ahrefs),Content Editor / Research Lead,RESEARCH_EDITOR,AI Search Citations & Entity Corroboration Studies,2026-08-05,https://ahrefs.com/blog/category/studies/,Industry research hub covering web-scale search data & entity signals,80 of 100 audited sites lacked proprietary data or original research assets,https://ahrefs.com/blog/contact/,Yes (Public Editorial Contact),B,SOURCE_OFFER,External independent research data tip. Not a newsroom press release.,2026-08-31
Semrush Blog,https://www.semrush.com/blog,Editorial Team (Semrush),Senior Content Editor,RESEARCH_EDITOR,Generative Engine Optimization & LLM Brand Citations,2026-07-28,https://www.semrush.com/blog/,Major SEO platform publishing proprietary search benchmarks and study reviews,Technical Search Readiness 95.85% vs AEO 62.20% vs GEO 36.53%,https://www.semrush.com/blog/contact/,Yes (Public Editorial Form),B,EDITORIAL_DATA_TIP,External corroborating dataset offer for industry comparison.,2026-08-31
Content Marketing Institute,https://contentmarketinginstitute.com,Editorial Team (CMI),Research & Editorial Director,STAFF_EDITOR,First-Party Research Assets in B2B Strategy,2026-08-02,https://contentmarketinginstitute.com/articles/,Authority hub for B2B content marketing strategy and research asset creation,80 of 100 audited business websites lacked proprietary research assets,https://contentmarketinginstitute.com/contact/,Yes (Public Editorial Contact),C,FEATURE_IDEA,Focus on original evidence gap for B2B marketers.,2026-08-31
Digital Agency Network,https://digitalagencynetwork.com,Editorial Team (DAN),Agency Insights Editor,STAFF_EDITOR,AI SEO Services & Client Strategy Benchmarks,2026-07-15,https://digitalagencynetwork.com/,Agency ecosystem portal covering digital strategy and service benchmarking,Descriptive mean score 67.26 / 100 Pts across 100 audited SMB sites,https://digitalagencynetwork.com/contact/,Yes (Public Editorial Form),C,SOURCE_OFFER,Focus on agency client benchmark data.,2026-08-31
