pre_selected_id,domain,cohort,region,pre_selected_date,dual_audit_status,notes
1,"brooklyncandlestudio.com","eCommerce / D2C","Northeast","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
2,"cotopaxi.com","eCommerce / D2C","West","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
3,"goruck.com","eCommerce / D2C","South","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
4,"apexroofingus.com","Professional & Local Services","South","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
5,"seattleplumbing.com","Professional & Local Services","West","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
6,"denverrealtygroup.com","Professional & Local Services","West","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
7,"singlegrain.com","B2B & Corporate Services","West","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
8,"seerinteractive.com","B2B & Corporate Services","Northeast","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
9,"veza-digital.com","B2B & Corporate Services","South","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
10,"superthing.com","Health, Wellness & Lifestyle","South","2026-08-31","PRE_SELECTED_DUAL_AUDITED","Replacement reliability domain dual-audited"
11,"floretflowers.com","Health, Wellness & Lifestyle","West","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
12,"drbronner.com","Health, Wellness & Lifestyle","West","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
13,"papermouse.com","Miscellaneous Independent","Northeast","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
14,"fieldnotesbrand.com","Miscellaneous Independent","Midwest","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
15,"adafruit.com","Miscellaneous Independent","Northeast","2026-08-31","PRE_SELECTED_PENDING_AUDIT","Pre-selected before any readiness scoring occurs"
